title_num_pos,title_num_neg,title_avg_pos,title_avg_neg,title_avg,sum_pos_title,sum_neg_title,body_num_pos,body_num_neg,body_avg_pos,body_avg_neg,body_avg,sum_pos_body,sum_neg_body,label
0,92,0,0.0,0,0,0,409,92,0.222903618581907,-0.20478086956521735,0.14436674650698594,91.16757999999996,-18.839839999999995,Buzzfeed News
2,56,0.07649500000000001,0.0,0.07649500000000001,0.15299000000000001,0,175,56,0.21949388571428585,-0.21539357142857135,0.1140666233766235,38.411430000000024,-12.062039999999996,National Review
0,93,0,0.0,0,0,0,257,93,0.23213754863813224,-0.32176075268817195,0.08495885714285714,59.65934999999999,-29.92374999999999,Buzzfeed News
0,43,0,0.0,0,0,0,54,43,0.1539062962962963,-0.19731302325581396,-0.0017888659793814422,8.31094,-8.48446,Breitbart
0,23,0,0.0,0,0,0,76,23,0.20777223684210533,-0.2592952173913044,0.0992616161616162,15.790690000000005,-5.963790000000001,Breitbart
4,106,0.105225,0.0,0.105225,0.4209,0,299,106,0.20078538461538453,-0.25753273584905667,0.08083051851851845,60.03482999999998,-27.298470000000005,Guardian
0,47,0,0.0,0,0,0,145,47,0.265479931034483,-0.286374255319149,0.13039062500000015,38.49459000000003,-13.459590000000002,NPR
2,119,0.15298,-9.03361344537815e-05,0.09840333333333334,0.30596,-0.01075,404,119,0.21161099009900988,-0.17632151260504195,0.1233433652007648,85.49083999999999,-20.982259999999993,Business Insider
0,49,0,0.0,0,0,0,107,49,0.193310186915888,-0.30265999999999993,0.0375246794871796,20.684190000000015,-14.830339999999998,National Review
0,11,0,0.0,0,0,0,52,11,0.24891576923076936,-0.2509745454545455,0.1616333333333334,12.943620000000006,-2.7607200000000005,Breitbart
0,54,0,-0.021011111111111112,-0.5673,0,-1.1346,103,54,0.19678252427184487,-0.3156231481481481,0.020541082802547905,20.26860000000002,-17.04365,Fox News
0,33,0,0.0,0,0,0,46,33,0.20497630434782615,-0.25850606060606063,0.011369746835443069,9.428910000000004,-8.530700000000001,Buzzfeed News
0,100,0,-0.0010451,-0.10451,0,-0.10451,342,100,0.22083979532163758,-0.19610259999999993,0.12650893665158383,75.52721000000005,-19.610259999999993,Atlantic
4,4,0.0856825,-0.18524249999999998,-0.05689142857142856,0.34273,-0.7409699999999999,8,4,0.22064375,-0.4005475,0.01358,1.76515,-1.60219,Business Insider
0,23,0,0.0,0,0,0,37,23,0.18402837837837838,-0.5044630434782609,-0.07989333333333334,6.80905,-11.60265,Buzzfeed News
0,38,0,-0.01073657894736842,-0.20399499999999998,0,-0.40798999999999996,50,38,0.18006440000000012,-0.2606886842105263,-0.01026079545454538,9.003220000000006,-9.90617,Fox News
0,23,0,0.0,0,0,0,58,23,0.23595982758620695,-0.4326934782608696,0.04609530864197533,13.685670000000004,-9.951950000000002,National Review
0,34,0,-0.015537352941176471,-0.17609,0,-0.52827,103,34,0.18758242718446608,-0.19761441176470596,0.09198613138686135,19.320990000000005,-6.718890000000003,Reuters
1,36,0.08411,0.0,0.08411,0.08411,0,36,36,0.20059222222222217,-0.47646083333333344,-0.13793430555555564,7.221319999999999,-17.152590000000004,Breitbart
0,39,0,-0.012755384615384616,-0.24873,0,-0.49746,69,39,0.16747072463768126,-0.23306948717948722,0.022831203703703746,11.555480000000006,-9.089710000000002,Reuters
0,77,0,0.0,0,0,0,122,77,0.2217023770491804,-0.31170493506493496,0.015308592964824182,27.047690000000006,-24.001279999999994,Atlantic
0,64,0,0.0,0,0,0,117,64,0.20917897435897434,-0.18637593750000006,0.06931425414364638,24.47394,-11.928060000000004,New York Times
0,15,0,0.0,0,0,0,53,15,0.1918820754716981,-0.144874,0.11759764705882354,10.16975,-2.17311,Talking Points Memo
3,35,0.14980000000000002,-0.01586057142857143,-0.017620000000000007,0.4494,-0.5551200000000001,75,35,0.18492680000000006,-0.2276648571428572,0.053647636363636376,13.869510000000004,-7.968270000000002,Reuters
1,122,0.04128,0.0,0.04128,0.04128,0,312,122,0.200950673076923,-0.21433196721311468,0.08421223502304143,62.69660999999997,-26.14849999999999,Vox
0,162,0,0.0,0,0,0,239,162,0.2034028033472803,-0.35295740740740705,-0.021361172069825306,48.61326999999999,-57.17909999999994,Buzzfeed News
0,72,0,0.0,0,0,0,218,72,0.21619876146788986,-0.1785127777777777,0.11820141379310342,47.13132999999999,-12.852919999999994,Atlantic
0,46,0,0.0,0,0,0,122,46,0.2527777868852459,-0.22237434782608692,0.12267660714285714,30.838889999999996,-10.229219999999998,National Review
0,19,0,0.0,0,0,0,51,19,0.22360411764705881,-0.2008373684210526,0.10839857142857144,11.40381,-3.8159099999999992,Talking Points Memo
1,47,0.21734,0.0,0.21734,0.21734,0,91,47,0.18677593406593418,-0.3644591489361703,-0.0009635507246376316,16.99661000000001,-17.129580000000004,New York Post
0,20,0,0.0,0,0,0,42,20,0.15561809523809528,-0.252236,0.024052258064516135,6.535960000000001,-5.044720000000001,Talking Points Memo
0,63,0,0.0,0,0,0,80,63,0.1813038750000001,-0.217297619047619,0.005696223776223852,14.504310000000007,-13.689749999999997,New York Times
1,77,0.3481,-0.003003116883116883,0.05843000000000001,0.3481,-0.23124,179,77,0.21031983240223467,-0.2540809090909092,0.070636796875,37.64725000000001,-19.564230000000006,Reuters
1,56,0.30027,-0.007628214285714286,-0.06345500000000001,0.30027,-0.42718,213,56,0.23459187793427216,-0.29364285714285704,0.12462479553903336,49.96806999999997,-16.443999999999996,Vox
